id,total_ima,ima_high_avg,ima_high_total,ima_medium_total,ima_low_total,ima_per_min,ima_accel_high,ima_acel_medium,ima_acel_low,ima_decel_high,ima_decel_medium,ima_decel_low,total_player_load,average_player_load,peak_player_load,player_load_per_minute,total_jumps,jumps_avg,jumps_per_minute,high_intensity_jumps,med_intesnity_jumps,low_intensity_jumps,rhie_bout_recovery_max,rhie_bout_recovery_min,rhie_bout_recovery_mean,rhie_effort_per_bout,rhie_effort_per_bout_max,rhie_effort_recovery_min,rhie_effort_recovery_mean,rhie_total_bouts,rhie_efforts_per_bout_min,injury
1056,550,22,22,85,443,5,1,7,40,11,28,86,475,28,3,4,102,102,1,11,48,43,446,0,192,3,5,0,1,10,0,0
1057,840,50,50,143,647,5,11,18,88,11,40,140,688,53,5,4,131,131,1,27,77,27,1235,0,186,4,10,0,3,23,0,0
1058,913,118,118,171,624,7,45,31,89,20,39,131,594,30,4,5,198,198,2,27,96,75,330,0,147,6,17,0,1,14,0,0
1059,892,46,46,151,695,5,9,24,99,16,37,178,788,61,3,5,159,159,1,29,70,60,1161,0,277,5,10,0,2,17,0,0
1060,400,14,14,72,314,3,2,6,30,5,13,70,388,65,3,3,127,127,1,7,48,72,525,0,229,3,4,0,1,8,0,0
1061,643,32,32,113,498,7,4,12,48,14,36,115,494,29,3,5,103,103,1,18,47,38,602,0,193,4,5,0,0,12,0,0
1062,1187,36,72,184,931,5,8,15,102,23,64,260,1071,56,6,4,244,122,1,61,111,72,1403,0,190,4,7,0,1,29,0,0
1063,777,46,46,127,604,7,7,9,56,15,38,145,521,35,4,4,122,122,1,29,62,31,475,0,120,5,9,0,2,22,0,0
1064,858,53,53,135,670,5,11,17,82,17,38,177,744,57,5,4,159,159,1,39,81,39,1435,0,188,4,7,0,1,28,0,0
1065,477,27,27,70,380,4,2,9,34,9,9,93,386,55,3,3,87,87,1,16,60,11,1718,0,472,5,6,0,0,8,0,0
1066,946,67,67,156,723,5,12,17,102,19,49,189,838,64,9,5,195,195,1,34,83,78,654,0,245,6,12,0,1,18,0,0
1067,948,68,68,184,696,6,20,30,128,19,51,164,706,47,4,5,175,175,1,61,75,39,608,0,162,5,16,0,3,27,0,0
1068,901,27,54,169,678,6,4,19,70,20,55,187,753,40,3,5,222,111,1,45,151,26,655,0,154,5,14,0,1,19,0,0
1069,874,61,61,153,660,5,10,15,88,20,53,190,834,64,4,5,164,164,1,44,66,54,1286,0,225,5,11,0,1,31,0,0
1070,296,11,11,60,225,2,2,3,16,6,20,51,273,39,2,2,51,51,0,7,34,10,1192,0,541,3,4,0,0,3,0,0
1071,627,42,42,107,478,5,5,18,41,17,24,117,485,35,4,4,88,88,1,16,45,27,1239,0,263,4,8,0,1,13,0,0
1072,1225,48,95,199,931,5,16,21,100,21,66,240,1107,53,5,5,270,135,1,43,137,90,1297,0,177,4,9,0,1,30,0,0
1073,735,71,71,143,521,8,17,20,66,14,32,112,469,52,3,5,102,102,1,35,45,22,327,0,118,5,12,0,2,31,0,0
1074,1145,122,122,266,757,7,21,34,99,53,101,184,740,46,5,4,164,164,1,42,81,41,449,0,115,5,16,0,2,50,0,0
1075,935,62,62,158,715,6,8,14,59,23,47,157,662,41,3,4,140,140,1,46,60,34,472,0,156,4,11,0,1,28,0,0
1076,0,0,0,0,0,0,0,0,0,0,0,0,550,34,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1077,937,51,51,158,728,6,9,16,86,22,47,205,813,63,6,5,144,144,1,36,57,51,1211,0,231,5,11,0,1,21,0,0
1078,965,17,34,175,756,6,3,23,70,17,57,203,746,53,3,5,281,141,2,41,200,40,719,0,182,5,12,0,2,18,0,0
1079,848,55,55,158,635,5,5,20,80,17,38,164,723,56,6,4,135,135,1,29,53,53,1424,0,233,6,11,0,1,24,0,0
1080,639,49,49,124,466,6,7,11,40,20,36,109,495,38,3,5,116,116,1,30,58,28,700,0,146,5,8,0,1,24,0,0
1081,750,43,43,138,569,5,8,12,71,11,50,130,621,41,5,4,122,122,1,27,76,19,798,0,215,4,5,0,1,20,0,0
1082,1351,54,107,230,1014,6,20,27,119,41,74,308,1088,57,7,5,331,166,1,58,203,70,1876,0,234,4,8,0,1,39,0,0
1083,602,42,42,109,451,5,5,12,45,14,29,115,468,29,3,4,76,76,1,14,44,18,1120,0,206,5,13,0,2,11,0,0
1084,227,10,10,42,175,4,1,8,21,2,15,40,200,29,3,3,38,38,1,2,26,10,263,0,158,4,5,0,0,3,0,0
1085,795,63,63,136,596,6,15,11,54,19,43,115,545,36,4,4,91,91,1,32,37,22,351,0,131,4,8,0,1,28,0,0
1086,708,64,64,140,504,5,10,16,55,18,45,125,515,43,5,4,102,102,1,27,40,35,466,0,137,4,11,0,1,28,0,0
1087,676,50,50,118,508,4,9,12,56,17,46,135,569,36,3,3,111,111,1,27,71,13,1362,0,250,5,12,0,2,19,0,1
1088,549,29,29,102,418,4,8,10,46,7,26,111,493,27,4,4,89,89,1,13,48,28,281,0,121,4,5,0,1,9,0,0
1089,876,47,47,174,655,5,5,17,82,15,55,163,832,64,6,5,98,98,1,34,31,33,1375,0,328,5,11,0,1,18,0,0
1090,678,45,45,123,510,6,4,19,34,21,45,125,501,39,3,4,121,121,1,36,60,25,1345,0,139,4,6,0,2,32,0,0
1091,834,64,64,150,620,6,6,20,85,33,44,188,652,47,3,4,261,261,2,25,165,71,804,0,204,4,6,0,1,20,0,0
1092,791,49,49,140,602,4,10,17,68,14,43,154,723,56,4,4,104,104,1,35,25,44,2076,0,425,4,9,0,1,18,0,0
1093,683,34,34,116,533,5,7,6,52,8,38,135,521,33,3,4,207,207,2,27,134,46,759,0,183,4,8,0,2,16,0,0
1094,766,47,47,132,587,4,10,14,54,17,39,153,625,48,5,4,113,113,1,34,42,37,1325,0,196,5,10,0,2,25,0,0
1095,291,13,13,50,228,5,1,2,17,1,26,102,164,164,4,3,155,155,2,12,130,13,1647,49,338,6,15,0,3,9,3,0
1096,363,10,10,59,294,3,3,9,56,3,10,107,698,233,3,6,199,199,2,6,167,26,2847,0,629,4,6,0,2,8,0,0
