Player,Opponent,Date,Start?,min,fgm/a,pct,3fg/a,pct,ftm/a,pct,off,def,tot,avg,pf,AST,T/O,BLK,STl,PTS,avg,,,,,,,,,,
Isiah Brown,Creighton,11/15/2017,NULL,5,0-1,0.00,0-1,0.00,0-0,0.00,0,0,0,1,2,0,0,0,0,0,1,,,,,,,,,,
Isiah Brown,La Salle,11/18/2017,NULL,3,0-2,0.00,0-0,0.00,0-0,0.00,0,0,0,1,0,0,2,0,0,0,1,,,,,,,,,,
Isiah Brown,Texas Tech,11/19/2017,NULL,5,1-2,0.50,1-2,0.50,0-0,0.00,0,0,0,0,0,0,1,0,0,3,1,,,,,,,,,,
Isiah Brown,Sacred Heart,11/24/2017,NULL,7,0-1,0.00,0-1,0.00,4-4,1.00,0,0,0,0,0,1,1,0,2,4,2,,,,,,,,,,
Isiah Brown,Georgia Tech,11/28/2017,NULL,3,0-1,0.00,0-1,0.00,0-0,0.00,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,
Isiah Brown,Illinois,12/1/2017,NULL,7,1-2,0.50,0-0,0.00,3-4,0.75,0,2,2,1,1,0,0,0,1,5,2,,,,,,,,,,
Isiah Brown,Purdue,12/3/2017,NULL,17,4-8,0.50,1-2,0.50,0-0,0.00,0,1,1,1,3,2,0,0,0,9,3,,,,,,,,,,
Isiah Brown,Chicago State,12/11/2017,NULL,17,1-4,0.25,0-1,0.00,5-6,0.83,0,1,1,1,5,3,2,0,0,7,3,,,,,,,,,,
Isiah Brown,Valparaiso,12/14/2017,NULL,11,1-1,1.00,0-0,0.00,2-2,1.00,0,0,0,1,2,0,0,0,0,4,3,,,,,,,,,,
Isiah Brown,DePaul,12/16/2017,NULL,11,3-4,0.75,1-1,1.00,0-0,0.00,1,1,2,1,0,1,0,0,0,7,4,,,,,,,,,,
Isiah Brown,Lewis,12/19/2017,NULL,24,2-6,0.33,0-2,0.00,2-2,1.00,1,3,4,1,4,6,2,0,1,6,4,,,,,,,,,,
Isiah Brown,Oklahoma,12/22/2017,NULL,18,3-3,1.00,0-0,0.00,4-5,0.80,0,0,0,1,3,2,4,0,1,10,4,,,,,,,,,,
Isiah Brown,Brown,12/30/2017,NULL,17,2-5,0.40,0-0,0.00,0-0,0.00,0,4,4,1,0,3,1,0,0,4,4,,,,,,,,,,
Isiah Brown,Nebraska,1/2/2018,NULL,12,1-3,0.33,0-0,0.00,0-0,0.00,0,0,0,1,1,2,1,0,0,2,4,,,,,,,,,,
Isiah Brown,Penn State,1/5/2018,NULL,8,1-3,0.33,0-1,0.00,0-0,0.00,2,0,2,1,1,0,0,0,0,2,4,,,,,,,,,,
Isiah Brown,Indiana,1/14/2018,NULL,4,3-3,1.00,2-2,1.00,1-1,1.00,0,0,0,1,1,0,1,0,1,9,4,,,,,,,,,,
Isiah Brown,Maryland,2/10/2018,NULL,3,0-2,0.00,0-1,0.00,0-0,0.00,0,0,0,1,1,0,0,0,0,0,4,,,,,,,,,,
Isiah Brown,Rutgers,2/13/2018,NULL,9,0-1,0.00,0-0,0.00,0-0,0.00,0,0,0,1,1,0,2,0,1,0,4,,,,,,,,,,
Isiah Brown,Michigan State,2/17/2018,NULL,12,2-5,0.40,0-0,0.00,0-0,0.00,1,1,2,1,2,0,1,0,0,4,4,,,,,,,,,,
Isiah Brown,Maryland,2/19/2018,NULL,16,3-6,0.50,1-4,0.25,4-4,1.00,0,1,1,1,3,3,1,0,1,11,4,,,,,,,,,,
