id,date,Jersey,total_ima,ima_high_avg,ima_high_total,ima_medium_total,ima_low_total,ima_per_min,ima_accel_high,ima_acel_medium,ima_acel_low,ima_decel_high,ima_decel_medium,ima_decel_low,average_duration,total_player_load,average_player_load,peak_player_load,player_load_per_minute,total_jumps,jumps_avg,jumps_per_minute,high_intensity_jumps,med_intesnity_jumps,low_intensity_jumps,rhie_bout_recovery_max,rhie_bout_recovery_min,rhie_bout_recovery_mean,rhie_effort_duration_max,rhie_effort_duration_min,rhie_effort_duration_max,rhie_effort_per_bout,rhie_effort_per_bout_max,rhie_effort_recovery_min,rhie_effort_recovery_mean,rhie_total_bouts,rhie_efforts_per_bout_min
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/16/2016,4,724,50,50,119,555,8,6,13,44,24,28,117,0:05:42,501,31,4,5,58,58,1,32,10,16,534,0,97,0:00:00,0:00:00,0,4,11,0,1,23,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/17/2016,4,687,15,30,113,544,5,6,17,66,15,44,131,0:16:33,773,86,5,5,257,129,2,175,71,11,1110,0,213,0:00:00,0:00:00,0,7,19,0,3,22,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/19/2016,4,918,56,56,168,694,8,4,9,74,25,48,140,0:07:54,726,48,4,6,205,205,2,97,81,27,420,0,90,0:00:00,0:00:00,0,5,19,0,2,30,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/20/2016,4,875,41,41,169,665,5,4,8,56,14,49,169,0:12:46,806,62,4,5,216,216,1,159,38,19,1184,0,190,0:00:00,0:00:00,0,7,42,0,6,29,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/21/2016,4,692,35,35,104,553,6,6,15,77,5,16,111,0:16:18,610,87,4,5,180,180,2,64,102,14,1103,0,224,0:00:00,0:00:00,0,5,12,0,4,20,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/22/2016,4,1268,80,80,237,951,7,16,29,104,26,66,205,0:13:41,1090,84,7,6,226,226,1,140,50,36,1074,0,206,0:00:00,0:00:00,0,7,57,0,4,32,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/25/2016,4,1138,78,78,207,853,7,8,8,89,31,66,188,0:10:10,914,61,5,6,199,199,1,100,76,23,736,0,144,0:00:00,0:00:00,0,5,12,0,3,37,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/26/2016,4,1109,40,80,206,823,7,8,17,105,33,59,194,0:08:15,889,47,4,6,288,144,2,188,67,33,461,0,127,0:00:00,0:00:00,0,7,28,0,3,41,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/27/2016,4,1030,78,78,190,762,6,9,22,85,22,58,163,0:13:55,911,70,6,5,139,139,1,55,60,24,959,0,170,0:00:00,0:00:00,0,6,12,0,2,29,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/28/2016,4,391,18,18,64,309,3,2,4,22,7,13,61,0:17:50,382,55,3,3,80,80,1,37,29,14,722,0,261,0:00:00,0:00:00,0,5,12,0,5,8,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/29/2016,4,910,48,48,150,712,8,7,10,46,14,45,144,0:08:35,658,47,3,5,136,136,1,40,74,22,1184,0,197,0:00:00,0:00:00,0,4,7,0,1,21,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/30/2016,4,1601,61,121,298,1182,7,20,30,107,33,99,274,0:10:56,1378,66,7,6,373,187,2,207,129,37,1194,0,135,0:00:00,0:00:00,0,6,24,0,3,60,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/1/2017,4,953,101,101,213,639,10,26,30,68,25,59,151,0:10:34,642,71,6,7,131,131,1,66,41,24,236,0,81,0:00:00,0:00:00,0,6,19,0,2,38,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/2/2017,4,1325,110,110,261,954,8,18,21,124,36,81,230,0:10:32,1009,63,5,6,198,198,1,113,54,31,603,0,110,0:00:00,0:00:00,0,7,37,0,3,46,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/3/2017,4,1196,96,96,219,881,8,11,18,76,31,58,173,0:09:32,838,52,5,5,173,173,1,90,60,23,644,0,108,0:00:00,0:00:00,0,6,30,0,2,47,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/4/2017,4,991,56,56,169,766,7,5,18,79,25,39,165,0:08:52,797,50,4,6,172,172,1,76,59,37,597,0,150,0:00:00,0:00:00,0,5,11,0,1,22,0
