id,date,jersey,total_jumps,jumps_avg,jumps_per_minute,high_intensity_jumps,med_intesnity_jumps,low_intensity_jumps
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/1/17,4,103,103,0.51012,47,27,29
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/4/17,4,207,207,1.27557,166,28,13
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/7/17,4,124,124,0.77563,88,14,22
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/8/17,4,172,172,1.12682,102,46,24
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/9/17,4,5,5,0.14302,0,0,5
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/11/17,4,50,50,0.63986,3,25,22
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/12/17,4,174,174,1.03729,129,27,18
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/13/17,4,102,102,0.65483,46,16,40
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/15/17,4,166,166,0.93154,104,19,43
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/17/17,4,83,83,0.61585,58,9,16
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/18/17,4,78,78,0.6344,44,13,21
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/19/17,4,107,107,0.82849,48,11,48
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/21/17,4,250,250,0.93732,112,65,73
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/22/17,4,295,295,1.12058,163,93,39
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/23/17,4,95,95,0.59709,49,33,13
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/24/17,4,213,106.5,1.08653,139,19,55
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/26/17,4,103,103,0.90786,21,66,16
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/27/17,4,101,101,0.54025,50,31,20
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/28/17,4,324,162,1.62787,239,55,30
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/29/17,4,82,82,0.90534,40,32,10
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/30/17,4,174,174,0.9481,80,73,21
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/1/17,4,223,223,1.21295,120,61,42
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/3/17,4,160,160,0.94871,89,44,27
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/8/17,4,163,163,1.32639,79,66,18
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/9/17,4,177,177,1.66952,65,73,39
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/10/17,4,134,134,1.09293,48,73,13
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/11/17,4,223,111.5,0.91537,136,51,36
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/12/17,4,156,156,1.08812,100,32,24
