id,date,Jersey,total_ima,ima_high_avg,ima_high_total,ima_medium_total,ima_low_total,ima_per_min,ima_accel_high,ima_acel_medium,ima_acel_low,ima_decel_high,ima_decel_medium,ima_decel_low
bc83f44d-fdf4-42a7-a23b-565de107bb9c,01/05/2017 - Vic Law,4,1183,105,105,209,869,7.30249,20,18,81,35,65,201
bc83f44d-fdf4-42a7-a23b-565de107bb9c,01/07/2017 - Vic Law,4,490,34,34,88,368,6.28212,3,10,40,10,33,97
bc83f44d-fdf4-42a7-a23b-565de107bb9c,01/08/2017 - Vic Law,4,1169,95,95,232,842,7.08487,17,18,85,35,65,183
bc83f44d-fdf4-42a7-a23b-565de107bb9c,01/10/2017 - Vic Law,4,807,44,44,144,619,7.56869,7,10,64,17,29,134
bc83f44d-fdf4-42a7-a23b-565de107bb9c,01/11/2017 - Vic Law,4,0,0,0,0,0,0,0,0,0,0,0,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,01/12/2017 - Vic Law,4,1748,60,120,344,1284,7.57588,18,36,138,39,106,289
bc83f44d-fdf4-42a7-a23b-565de107bb9c,01/14/2017 - Vic Law,4,737,53,53,107,577,5.90212,2,9,66,16,28,137
bc83f44d-fdf4-42a7-a23b-565de107bb9c,01/15/2017 - Vic Law,4,1356,47,94,275,987,5.93068,13,23,122,28,79,222
bc83f44d-fdf4-42a7-a23b-565de107bb9c,01/17/2017 - Vic Law,4,989,75,75,207,707,8.18079,10,16,86,23,63,150
bc83f44d-fdf4-42a7-a23b-565de107bb9c,01/18/2017 - Vic Law,4,1210,115,115,244,851,8.29103,16,26,97,38,66,194
bc83f44d-fdf4-42a7-a23b-565de107bb9c,01/20/2017 - Vic Law,4,953,75,75,173,705,5.73787,10,23,87,26,42,154
bc83f44d-fdf4-42a7-a23b-565de107bb9c,01/21/2017 - Vic Law,4,826,61,61,163,602,5.92854,6,14,65,13,41,125
bc83f44d-fdf4-42a7-a23b-565de107bb9c,01/22/2017 - Vic Law,4,1161,104,104,225,832,6.711,11,21,105,42,75,175
bc83f44d-fdf4-42a7-a23b-565de107bb9c,01/24/2017 - Vic Law,4,898,55,55,166,677,6.45003,5,27,117,23,44,173
bc83f44d-fdf4-42a7-a23b-565de107bb9c,01/25/2017 - Vic Law,4,962,58,58,186,718,6.42539,7,16,81,17,61,169
bc83f44d-fdf4-42a7-a23b-565de107bb9c,01/26/2017 - Vic Law,4,1202,113,113,222,867,6.79098,13,18,93,34,69,199
bc83f44d-fdf4-42a7-a23b-565de107bb9c,01/28/2017 - Vic Law,4,892,55,55,153,684,6.72406,1,18,61,21,36,162
bc83f44d-fdf4-42a7-a23b-565de107bb9c,01/29/2017 - Vic Law,4,1235,101,101,277,857,7.22224,9,26,106,37,81,170
bc83f44d-fdf4-42a7-a23b-565de107bb9c,01/31/2017 - Vic Law,4,793,46,46,149,598,6.13007,1,9,83,26,58,162
bc83f44d-fdf4-42a7-a23b-565de107bb9c,02/01/2017 - Vic Law,4,439,11,22,80,337,4.33085,2,8,47,14,41,100
bc83f44d-fdf4-42a7-a23b-565de107bb9c,02/03/2017 - Vic Law,4,718,43,43,140,535,6.83366,2,13,51,21,50,142
bc83f44d-fdf4-42a7-a23b-565de107bb9c,02/04/2017 - Vic Law,4,987,75,75,178,734,7.51501,3,15,73,42,71,164
bc83f44d-fdf4-42a7-a23b-565de107bb9c,02/05/2017 - Vic Law,4,854,56,56,132,666,6.26056,8,8,62,20,29,223
bc83f44d-fdf4-42a7-a23b-565de107bb9c,02/06/2017 - Vic Law,4,766,64,64,165,537,8.02802,11,11,67,23,60,127
bc83f44d-fdf4-42a7-a23b-565de107bb9c,02/07/2017 - Vic Law,4,1479,117,117,301,1061,8.35596,10,26,116,37,102,284
