period,season,date,game,win_loss,score,team_score,total_player_load,avg_load_against_opp
In Season,2016-17,3/9/2017,Rutgers(3),Win,W83-61,83,7164.08901,8227.085927
In Season,2016-17,3/10/2017,Maryland(2),Win,W72-64,72,5734.27427,6300.55386
In Season,2016-17,3/11/2017,Wisconsin(2),Loss,L76-48,48,5085.09128,5833.927715
In Season,2016-17,3/13/2017,null,null,null,null,4349.60459,null
In Season,2016-17,3/14/2017,null,null,null,null,5080.02964,null
In Season,2016-17,3/15/2017,null,null,null,null,3646.81045,null
In Season,2016-17,3/16/2017,Vanderbilt,Win,W68-66,68,5852.5591,5852.5591
In Season,2016-17,3/17/2017,null,null,null,null,3970.0044,null
In Season,2016-17,3/18/2017,Gonzaga,Loss,L79-73,73,7110.29858,7110.29858
Off Season,null,4/17/2017,null,null,null,null,2941.14679,null
Off Season,null,4/18/2017,null,null,null,null,3300.29998,null
Off Season,null,4/20/2017,null,null,null,null,2897.42319,null
Off Season,null,4/24/2017,null,null,null,null,2701.03104,null
Off Season,null,4/25/2017,null,null,null,null,2487.67212,null
Off Season,null,4/27/2017,null,null,null,null,2792.82968,null
Off Season,null,5/1/2017,null,null,null,null,2498.16449,null
Off Season,null,5/2/2017,null,null,null,null,2371.69356,null
Off Season,null,5/3/2017,null,null,null,null,400.56213,null
Off Season,null,5/4/2017,null,null,null,null,1517.68753,null
Off Season,null,5/8/2017,null,null,null,null,3653.812,null
Off Season,null,5/9/2017,null,null,null,null,3044.17599,null
Off Season,null,5/11/2017,null,null,null,null,1834.91797,null
Off Season,null,5/15/2017,null,null,null,null,1316.26584,null
Off Season,null,5/16/2017,null,null,null,null,2841.44824,null
Off Season,null,5/18/2017,null,null,null,null,3682.07537,null
Off Season,null,5/22/2017,null,null,null,null,2883.54422,null
Off Season,null,5/23/2017,null,null,null,null,2811.27028,null
Off Season,null,5/25/2017,null,null,null,null,2771.67674,null
Off Season,null,6/20/2017,null,null,null,null,6480.05811,null
Off Season,null,6/22/2017,null,null,null,null,4506.0537,null
Off Season,null,6/26/2017,null,null,null,null,4628.52503,null
Off Season,null,6/27/2017,null,null,null,null,6411.13178,null
Off Season,null,6/29/2017,null,null,null,null,5155.94218,null
Off Season,null,6/30/2017,null,null,null,null,3888.94632,null
Off Season,null,7/6/2017,null,null,null,null,6016.95623,null
Off Season,null,7/11/2017,null,null,null,null,3580.53835,null
Off Season,null,7/17/2017,null,null,null,null,7064.46794,null
Off Season,null,7/18/2017,null,null,null,null,6064.26589,null
Off Season,null,7/24/2017,null,null,null,null,5585.02036,null
Off Season,null,7/25/2017,null,null,null,null,6036.52725,null
Off Season,null,9/15/2017,null,null,null,null,5608.74735,null
Off Season,null,9/19/2017,null,null,null,null,4391.19896,null
Off Season,null,9/20/2017,null,null,null,null,4117.42552,null
Off Season,null,9/25/2017,null,null,null,null,4081.36143,null
Off Season,null,9/26/2017,null,null,null,null,4495.7172,null
Off Season,null,9/27/2017,null,null,null,null,4875.50243,null
Off Season,null,9/29/2017,null,null,null,null,6347.57664,null
Off Season,null,9/30/2017,null,null,null,null,8350.86901,null
Off Season,null,10/2/2017,null,null,null,null,8505.02317,null
Off Season,null,10/3/2017,null,null,null,null,8189.14714,null
Off Season,null,10/5/2017,null,null,null,null,5403.7724,null
Off Season,null,10/6/2017,null,null,null,null,6246.98439,null
Off Season,null,10/9/2017,null,null,null,null,7962.42126,null
Off Season,null,10/10/2017,null,null,null,null,7106.01704,null
Off Season,null,10/12/2017,null,null,null,null,7777.50079,null
Off Season,null,10/13/2017,null,null,null,null,5317.06961,null
Off Season,null,10/16/2017,null,null,null,null,5102.91447,null
Off Season,null,10/17/2017,null,null,null,null,7378.09355,null
Off Season,null,10/18/2017,null,null,null,null,5216.58168,null
Off Season,null,10/21/2017,null,null,null,null,5619.72558,null
Off Season,null,10/23/2017,null,null,null,null,7037.92718,null
Off Season,null,10/24/2017,null,null,null,null,6267.92175,null
Off Season,null,10/25/2017,null,null,null,null,6785.60189,null
Off Season,null,10/26/2017,null,null,null,null,4518.60067,null
Off Season,null,10/27/2017,null,null,null,null,4712.78436,null
Off Season,null,10/28/2017,null,null,null,null,4212.64462,null
Off Season,null,10/30/2017,null,null,null,null,5710.44258,null
Off Season,null,10/31/2017,null,null,null,null,6563.28502,null
Off Season,null,11/1/2017,null,null,null,null,7867.12439,null
Off Season,null,11/2/2017,null,null,null,null,1875.93032,null
Off Season,null,11/3/2017,null,null,null,null,3442.03364,null
Off Season,null,11/4/2017,null,null,null,null,7004.62673,null
Off Season,null,11/7/2017,null,null,null,null,8169.00968,null
Off Season,null,11/8/2017,null,null,null,null,6990.01578,null
Off Season,null,11/9/2017,null,null,null,null,4933.10833,null
In Season,2017-18,11/10/2017,Loyola (MD),Win,W79-75,79,6381.21244,6381.21244
In Season,2017-18,11/11/2017,null,null,null,null,4117.75466,null
In Season,2017-18,11/12/2017,null,null,null,null,6377.83171,null
In Season,2017-18,11/13/2017,Saint Peters,Win,W75-66,75,6337.24344,6337.24344
In Season,2017-18,11/14/2017,null,null,null,null,1044.08325,null
In Season,2017-18,11/15/2017,Creighton,Loss,L92-88,88,6772.68956,6772.68956
In Season,2017-18,11/16/2017,null,null,null,null,2541.20171,null
In Season,2017-18,11/17/2017,null,null,null,null,5340.38308,null
In Season,2017-18,11/18/2017,LaSalle,Win,W82-74,82,5262.82123,5262.82123
In Season,2017-18,11/19/2017,Texas Tech,Loss,L85-49,49,5548.87915,5548.87915
In Season,2017-18,11/21/2017,null,null,null,null,10151.2192,null
In Season,2017-18,11/22/2017,null,null,null,null,9887.65665,null
In Season,2017-18,11/23/2017,null,null,null,null,6667.3059,null
In Season,2017-18,11/24/2017,Sacred Heart,Win,W81-50,81,9424.83872,9424.83872
In Season,2017-18,11/26/2017,null,null,null,null,7759.70276,null
In Season,2017-18,11/27/2017,null,null,null,null,7779.23431,null
In Season,2017-18,11/28/2017,Georgia Tech,Loss,L52-51,51,9498.73157,9498.73157
In Season,2017-18,11/29/2017,null,null,null,null,3789.54908,null
In Season,2017-18,11/30/2017,null,null,null,null,6825.36829,null
In Season,2017-18,12/1/2017,Illinois,Win,W72-68,72,8314.45389,8314.45389
In Season,2017-18,12/2/2017,null,null,null,null,1809.91855,null
In Season,2017-18,12/3/2017,Purdue,Loss,L74-69,69,7026.86918,7026.86918
In Season,2017-18,12/6/2017,null,null,null,null,5275.81059,null
In Season,2017-18,12/8/2017,null,null,null,null,5400.85225,null
In Season,2017-18,12/9/2017,null,null,null,null,4243.7944,null
In Season,2017-18,12/10/2017,null,null,null,null,4733.65302,null
In Season,2017-18,12/11/2017,Chicago State,Win,W96-31,96,9372.73022,9372.73022
In Season,2017-18,12/12/2017,null,null,null,null,6351.54632,null
In Season,2017-18,12/13/2017,null,null,null,null,3958.83159,null
In Season,2017-18,12/14/2017,Valparaiso,Win,W84-50,84,8985.8386,8985.8386
In Season,2017-18,12/16/2017,DePaul,Win,W62-60,62,8912.99689,8912.99689
In Season,2017-18,12/18/2017,null,null,null,null,5210.90798,null
In Season,2017-18,12/19/2017,Lewis,Win,W85-48,85,6077.17219,6077.17219
In Season,2017-18,12/20/2017,null,null,null,null,7192.34848,null
In Season,2017-18,12/21/2017,null,null,null,null,5764.81336,null
In Season,2017-18,12/22/2017,Oklahoma,Loss,L104-78,78,4923.4174,4923.4174
In Season,2017-18,12/26/2017,null,null,null,null,8977.71838,null
In Season,2017-18,12/27/2017,null,null,null,null,8281.72492,null
In Season,2017-18,12/28/2017,null,null,null,null,8923.11754,null
In Season,2017-18,12/29/2017,null,null,null,null,6579.07806,null
In Season,2017-18,12/30/2017,Brown,Win,W95-73,95,6178.16478,6178.16478
In Season,2017-18,12/31/2017,null,null,null,null,2528.36966,null
In Season,2017-18,1/1/2018,null,null,null,null,7050.52407,null
In Season,2017-18,1/2/2018,Nebraska,Loss,L70-55,55,6831.55967,6831.55967
In Season,2017-18,1/5/2018,Penn State(1),Loss,L78-63,63,8996.01371,7324.11356
In Season,2017-18,1/7/2018,null,null,null,null,5345.35371,null
In Season,2017-18,1/8/2018,null,null,null,null,6131.827,null
In Season,2017-18,1/10/2018,Minnesota(1),Win,W83-60,83,7094.93431,7957.12545
In Season,2017-18,1/12/2018,null,null,null,null,8235.54116,null
In Season,2017-18,1/13/2018,null,null,null,null,8101.99782,null
In Season,2017-18,1/14/2018,Indiana,Loss,L66-46,46,null,null
In Season,2017-18,1/16/2018,null,null,null,null,8181.04521,null
In Season,2017-18,1/17/2018,Ohio State,Loss,L71-65,65,6563.50736,6563.50736
In Season,2017-18,1/18/2018,null,null,null,null,1686.59793,null
In Season,2017-18,1/19/2018,null,null,null,null,4328.67484,null
In Season,2017-18,1/20/2018,Penn State(2),Win,W70-61,70,6496.71161,7324.11356
In Season,2017-18,1/22/2018,null,null,null,null,6977.71847,null
In Season,2017-18,1/23/2018,Minnesota(2),Win,W77-69,77,8819.31659,7957.12545
In Season,2017-18,1/26/2018,null,null,null,null,6853.20457,null
In Season,2017-18,1/27/2018,null,null,null,null,5877.15133,null
In Season,2017-18,1/28/2018,null,null,null,null,4409.86569,null
In Season,2017-18,1/29/2018,Michigan(1),Loss,L58-47,47,4742.74205,5290.19963
In Season,2017-18,1/30/2018,null,null,null,null,2162.07638,null
In Season,2017-18,1/31/2018,null,null,null,null,4038.68924,null
In Season,2017-18,2/1/2018,Wisconsin,Win,W60-52,60,10071.93734,10071.93734
In Season,2017-18,2/3/2018,null,null,null,null,6217.06596,null
In Season,2017-18,2/4/2018,null,null,null,null,7477.75194,null
In Season,2017-18,2/5/2018,null,null,null,null,6087.03345,null
In Season,2017-18,2/6/2018,Michigan(2),Win,W61-52,61,5837.65721,5290.19963
In Season,2017-18,2/8/2018,null,null,null,null,8783.48023,null
In Season,2017-18,2/9/2018,null,null,null,null,2284.99243,null
In Season,2017-18,2/10/2018,Maryland(1),Loss,L73-57,57,6069.78621,6072.453255
In Season,2017-18,2/11/2018,null,null,null,null,482.92163,null
In Season,2017-18,2/12/2018,null,null,null,null,3566.54732,null
In Season,2017-18,2/13/2018,Rutgers,Loss,L67-58,58,10605.29745,10605.29745
In Season,2017-18,2/15/2018,null,null,null,null,4477.06765,null
